time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-27T21:03:56.350Z,36.6715,-98.7278,7.17,3.2,mb_lg,,74,0.365,0.6,us,us20003zzg,2015-10-28T05:06:25.029Z,"15km SSW of Alva, Oklahoma",earthquake
2015-10-27T18:32:30.100Z,-32.7707,-71.6981,27.12,4.4,mb,,173,0.256,0.78,us,us20003zyf,2015-10-28T17:04:16.429Z,"30km NNW of Valparaiso, Chile",earthquake
2015-10-27T18:20:12.620Z,32.4083333,-115.464,15.17,3.17,ml,33,158,0.1349,0.29,ci,ci37264615,2015-10-28T15:53:45.040Z,"20km SSW of Puebla, B.C., MX",earthquake
2015-10-27T17:55:48.050Z,36.523,70.3267,201.81,4.3,mb,,69,0.633,1.6,us,us20003zxs,2015-10-28T15:43:50.324Z,"42km E of Farkhar, Afghanistan",earthquake
2015-10-27T16:21:57.510Z,-34.8052,-72.84,20.12,4.3,mb,,97,0.775,0.76,us,us10003rwm,2015-10-28T00:25:08.156Z,"70km NNW of Constitucion, Chile",earthquake
2015-10-27T15:44:41.200Z,36.1762,-97.3871,4.798,3.1,ml,,60,,0.65,us,us10003rvd,2015-10-27T17:26:13.714Z,"15km SW of Perry, Oklahoma",earthquake
2015-10-27T14:39:03.000Z,52.0042,-169.4622,26.6,3.1,ml,,,,0.44,ak,ak11755660,2015-10-27T22:41:49.419Z,"109km SE of Yunaska Island, Alaska",earthquake
2015-10-27T13:50:48.500Z,24.539,94.9835,87.24,4.2,mb,,117,3.015,1,us,us10003rut,2015-10-27T21:53:26.973Z,"93km E of Yairipok, India",earthquake
2015-10-27T13:27:40.100Z,-6.9858,125.4321,529.68,4.6,mb,,39,2.983,0.79,us,us10003rug,2015-10-27T21:30:11.138Z,"174km N of Dili, East Timor",earthquake
2015-10-27T13:19:26.000Z,52.1311,-169.4539,21.9,4.2,ml,,,,0.85,ak,ak11755637,2015-10-27T21:22:06.503Z,"98km SSW of Nikolski, Alaska",earthquake
2015-10-27T13:15:05.130Z,27.4455,66.0436,10,5.1,mb,,93,18.656,1.02,us,us10003ruc,2015-10-27T14:52:37.119Z,"67km WSW of Khuzdar, Pakistan",earthquake
2015-10-27T13:14:39.550Z,35.8358,24.0306,10,4.7,mb,,187,1.274,0.81,us,us10003rua,2015-10-27T14:20:13.953Z,"35km NNW of Mouzouras, Greece",earthquake
2015-10-27T13:14:07.750Z,36.4936,70.4631,200.91,4.7,mb,,71,0.637,0.75,us,us10003ru9,2015-10-27T21:16:40.863Z,"52km SW of Jarm, Afghanistan",earthquake
